"","Gene","log2( Max Expression Level )","Raw Gini Index","Normalized Gini Index","p-value"
"gene175","gene175",0.892200748088905,1.8534890415589,0.0121362981325102,0.423621441789543
"gene 52","gene 52",0.789557099575534,2.19255026965881,0.0126717971854433,0.425083021345265
"gene 54","gene 54",0.976167830524794,1.73893474521368,0.0649998379103831,0.430275779476629
"gene147","gene147",0.76087519739096,2.24580483509971,0.0150510818406522,0.431589177220804
"gene 82","gene 82",0.926954177132944,1.7497130665334,0.0185957621065073,0.44131610018037
"gene132","gene132",0.888485211851852,1.89147357031499,0.0189168814081662,0.442199122677339
"gene 10","gene 10",0.947510172525041,1.67692649497159,0.0205583566534062,0.446717290379115
"gene 48","gene 48",0.936092542435591,1.86282669730876,0.058633145704489,0.447763367453245
"gene 81","gene 81",0.938137756723258,1.8534890415589,0.0580733067668638,0.449306473266518
"gene 14","gene 14",0.868136907352746,1.97967784933389,0.0223566387841746,0.451674999826729
"gene120","gene120",0.947784498215144,1.68765214002665,0.0235225711716607,0.454893456953526
"gene171","gene171",0.935025620705571,1.73893474521368,0.0238576280911605,0.455818910499688
"gene208","gene208",0.767712128335642,2.25078672664268,0.0252122122176379,0.459562770973202
"gene 16","gene 16",0.869159681260363,2.10703421219287,0.0535454227055242,0.46181303481627
"gene189","gene189",0.850602084642693,2.07411966053262,0.0261281198188419,0.462096251683116
"gene 71","gene 71",0.75782440992325,2.26723608649848,0.0262349619624849,0.46239188860083
"gene  3","gene  3",0.841413116188948,2.17376341261735,0.0529123354443555,0.463564998668523
"gene109","gene109",0.889934664375112,1.91875495821226,0.0276183702154599,0.466221657962924
"gene 96","gene 96",0.890375254550956,1.91875495821226,0.0280589603913042,0.467442043427102
"gene173","gene173",0.92763921541966,1.7872628647096,0.0292569671263556,0.470761902615436
"gene 37","gene 37",0.891956077657288,1.99506845582904,0.0499410474545608,0.471796432062587
"gene 28","gene 28",0.839001071617089,2.17068864414939,0.0489442598850661,0.474560734644263
"gene 79","gene 79",0.900227799316762,1.9577043929905,0.0484967554164186,0.475802165558763
"gene 98","gene 98",0.848093842072713,2.14474356617066,0.047797513140215,0.477742413092192
"gene141","gene141",0.900370978691539,1.90039974225451,0.0332111666697839,0.481732768796201
"gene 41","gene 41",0.926469095312931,1.8418472222162,0.0431488811059695,0.490652586788058
"gene182","gene182",0.979765833105174,1.61640855822582,0.0378589562527498,0.494645077692502
"gene159","gene159",0.981181576125095,1.62468442603841,0.041302335277543,0.495784285913186
"gene119","gene119",0.87403484933879,2.02704903649726,0.038831714168442,0.497348718060947
